[506.51849399643356, -30.06885350226009]
[3.527791778888485, -9.746244977644029]
[-5.583718933941142, 0.7454799426124179]
[-9.820696529264282, -12.279790445039815]
[-0.06789290417136584, -0.43364130392891553]
[-12.489445381495777, -1.6965896508079368]
[-2.890406454500024, 5.119192451809781]
[-3.1556254661671623, 2.7400934434584805]
[7.216954025870978, -3.731498424817218]
[0.6512418574576913, -0.9078432630204283]
[-1.0755033448330642, -1.9229160967053112]
[-0.682343488840317, -1.0976473612554436]
[-2.1374173234859244, -2.475286553003439]
[-0.3536238917688097, -0.1698979800516156]
[0.5991453542126397, 1.917623074826171]
[-0.04637350561058717, -0.6175079866522388]
[-0.1690981656635575, -1.290245737079724]
[1.1371979766593032, 0.27129595542958684]
[-0.025207774974420616, 1.3757570165582473]
[0.6553593448651993, 0.1450647268864338]
[1.2377249670871802, -0.157596967011276]
[0.23314908836700732, -0.5986246134631329]
[-0.28402943832002614, -0.7024185751854793]
[0.14701345283278666, -0.054674988683877546]
[-0.5030850878338313, 0.1627788623750417]
[-0.3014842867340697, -0.4996458656754923]
[-0.41999617988552007, 0.008708944084621528]
[0.3473740861216559, -0.08793205440101204]
[0.2950562776103762, 0.18293364100442577]
[-0.4586383630162816, 0.1435715407475584]
[0.18863693584528418, -0.32526906736977956]
[0.24824694747989184, -0.4132367195321134]
[0.02311630877454146, -0.1911231416654786]
[-0.05015360269349989, 0.34850810859001236]
[0.2115803492721784, 0.19541382515541628]
[0.15891953237195455, -0.2059474866629003]
[0.09891920318363656, -0.05823661776415001]
[0.3145861134816976, 0.11631579438788364]
[0.1914337923478815, -0.2131984773210993]
[-0.12827216713766454, -0.10110677598910711]
[-0.2953980452219489, 0.2816416948001539]
[0.25679731798597705, -0.19713366261791904]
[0.23197274408031854, -0.25715467833013606]
[-0.14050905214423404, 0.012727114228384573]
[-0.24788340584981072, 0.10177658093338401]
[0.07051453202525204, -0.10339765809612356]
[0.0567478142194866, -0.21062445345309322]
[-0.05853153170308811, 0.1234862071603593]
[-0.11124670429524341, 0.0657181808988776]
[-0.1581008180887018, -0.13843298557244932]
[0.20757607193675254, -0.01741532688924874]
[0.18014813702659804, -0.003189556519094694]
[-0.05592309936217865, 0.025413548157929178]
[-0.0065305044979171445, 0.04901184003720349]
[0.24427403347345078, 0.02142719318708597]
[0.1122838145331746, -0.05697650124239928]
[-0.05126032811041692, -0.08292523584294109]
[0.027496736423605395, -0.008326183510417806]
[-0.013094028168628924, 0.04051216767162824]
[0.0747855327556004, -0.09620535902717897]
[0.019242535949168804, -0.029345890168653188]
[-0.034544390957309545, -0.0005216285945410792]
[-0.029179385027397142, -0.034784721711019984]
[0.02794759306183031, -0.00572198305238332]
[-0.06711376446662953, -0.08338916250669436]
[-0.052982448294085494, -0.012529123320898727]
[0.05215350116510731, 0.004947357617344439]
[-0.026908427820431458, 0.019315667973887507]
[-0.03932759706386024, -7.038619317067951e-05]
[0.040547855003268296, -0.03345793452799284]
[0.09172189561858213, -0.00935193491038655]
[0.0010018899807997528, 0.03549911522900917]
[0.02541351746116005, 0.05084416644147094]
[0.03707301971245691, -0.029646473260128037]
[-0.01283151453311715, -0.03642799142262998]
[0.03737270694468009, -0.05521099055341594]
[0.0749009688872625, 0.07453437431933896]
[0.0362786876020873, -0.03767328414586846]
[-0.0168494099703691, -0.08684451678295968]
[0.024564949198421226, 0.009049752116014886]
[-0.014904493410613728, -0.007934001401308066]
[-0.02825568994722749, -0.017611302395925454]
[-0.02753059570315708, -0.06393016553378117]
[-0.0027552038283160663, 0.016634644679982546]
[-0.000840388712795459, 0.0352281139212417]
[-0.025338168215203932, -0.01670660900234348]
[0.03425090400118502, -0.06864402167782749]
[0.045772137916089584, 0.012030922124760035]
[-0.008377075792315614, 0.041588203179674765]
[-0.032707291947349226, 0.029567833280356504]
[0.0304449857534268, -0.002197938054208093]
[0.03489955412995038, -0.03862422460012915]
[-0.005243143873022493, 0.01419439487975005]
[0.015785731785342483, -0.02890352017426867]
[0.02783184635738789, 0.026878927222653726]
[0.019137085838019874, -0.016728795074267833]
[0.006063862483746296, -0.01085807504297387]
[0.018317473445417093, -0.021781847108851782]
[-0.001365692423993592, -0.05458655494566411]
[-0.028102709029028783, -0.004267242051866127]
[-0.01740772072799368, 0.030909130862174283]
[0.03439158269838516, -0.0017483080808309293]
[0.02697888725517905, -0.07649248820808063]
[-0.031521133043723504, 0.01203242841844876]
[-0.007096760529285984, 0.020340884999298647]
[0.02878145281607214, 0.002786201763669671]
[0.007486674634545221, -0.023919994265493738]
[-0.014633966560641892, 0.029007201169440517]
[-0.0015877504312199475, 0.023431209864430917]
[0.007709324247936689, -0.04246064506829178]
[0.017155409332407112, 0.018581823650023532]
[0.031437715365006724, 0.0017020789044221996]
[0.006257662500217309, -0.007354881918824607]
[-0.0036594427374199157, -0.022137617419649258]
[-0.005819273258891977, 0.006932789849237064]
[0.005073094671490086, -0.009687101828607325]
[0.005206817296896649, -0.017210132832765623]
[-0.010095043371000534, -0.015495473043405372]
[-0.012620583105308919, 0.0022378332998282957]
[0.012138822204535632, -0.002735640707731246]
[0.04188605269579959, -0.02815563914405672]
[0.003597786603031339, 0.0031500509719113445]
[-0.022376258899171164, -0.02391088837562716]
[-0.0012547408100964663, 0.02130007185595484]
[0.017987605790461325, 0.01532693939316121]
[0.009735078925456109, -0.008645258417069535]
[0.0003791778207475893, -0.015922428960152946]
[-0.0008795152175538057, 0.006055305934846683]
[0.0019685759172941575, 0.027130798788528088]
[0.02287868049834549, -0.02161773451058439]
[-0.0007236086991292134, -0.015169529429743013]
[-0.005214023583787641, 0.0025936693975476266]
[0.0032038716415034862, 0.020345896388077322]
[-0.006114395367492476, -0.02155386660430414]
[-0.01089339893784369, -0.020974147017872036]
[0.009927795130246553, -0.012144322926338713]
[0.015083476711479804, 0.008275112132702489]
[-0.005312846266977145, 0.012338004591472274]
[0.0012964121000909046, -0.02855651719704011]
[0.0007488906396184158, -0.014631887139859856]
[0.008256698689651162, -0.002725432310400233]
