[-0.01712715843897994, -0.008196762202798968]
[-0.005149560126589403, 0.006158192452135447]
[-0.022463729937300503, 0.004863366456383522]
[-0.01380800497989182, 0.011489959617251522]
[-0.01251263690367832, 0.011648968466046405]
[-0.021734135363068008, 0.00035231455639839204]
[-0.004469725527358692, -0.0006707543566755181]
[-0.014788346167414868, -0.009633809470734889]
[-0.010236364855757407, -0.008220946275897756]
[-0.00449741002948123, -0.00015154451175170003]
[-0.01902232103327739, -0.0009161876158525484]
[-0.0075229583883285045, 0.009586299640663154]
[-0.015405642434808797, 0.009777106134380875]
[-0.01708762891624982, 0.005168073920977345]
[-0.005123807065382513, 0.004115529783122351]
[-0.016875542439901636, -0.006612672458726099]
[-0.005332842925691583, -0.005666113057966271]
[-0.006357357337415825, -0.004312462718425003]
[-0.014035593663283219, -0.004628919393014463]
[-0.003758938736216244, 0.005778041274141998]
[-0.016440392841149398, 0.005970327413666043]
[-0.011557418036339306, 0.00747900043542013]
[-0.007462959953748793, 0.006632450106364235]
[-0.01672252847846445, -0.002365613650950671]
[-0.0029614632659704654, -0.0019408962393341334]
[-0.009140353941393342, -0.005829879156019846]
[-0.008815309603424554, -0.005837298861838036]
[-0.0026451600073249537, 0.0015775883504682842]
[-0.015312836511612637, 0.0017282990141060939]
[-0.006494268388183233, 0.007273167921913126]
[-0.010030230445314453, 0.0067566637874268975]
[-0.014460472144708802, 0.0016091671136604369]
[-0.0029287481290913853, 0.0015923994825761678]
[-0.011457974791159564, -0.005013334905472622]
[-0.004538310618614205, -0.0048522782311839485]
[-0.0036258090539413868, -0.0017670527742701392]
[-0.012442736893722772, -0.0016990773058684905]
[-0.0029124767426287335, 0.005203174861947768]
[-0.01169549956566207, 0.005034534101586885]
[-0.010830325398882845, 0.004256384621880466]
[-0.0044931599288212665, 0.003948950456702516]
[-0.01241456938737806, -0.002711300992797483]
[-0.0019510226289281007, -0.0024919823939340002]
[-0.005734208031905608, -0.003528463218407385]
[-0.008696066185290008, -0.003567571699367278]
[-0.001278623668950818, 0.0022744723914648324]
[-0.011866287955754284, 0.00238949442268932]
[-0.006849257916388907, 0.005126803784171768]
[-0.006658879908566562, 0.004693118370519056]
[-0.011724443506742288, 2.625398052535921e-05]
[-0.0012431836117197115, 0.00023489376947449792]
[-0.00791944289044405, -0.0035763995315800656]
[-0.005056710812017862, -0.003721033301867571]
[-0.0014819865732083048, -0.000489831985106548]
[-0.010526317385803896, -0.00020260608289790483]
[-0.0034778775191306455, 0.004361432821885253]
[-0.00848217625676534, 0.003938819152552175]
[-0.00965657244211049, 0.0022663500499052747]
[-0.002090031619572441, 0.002432732673122273]
[-0.009335964544959108, -0.0022890001422068984]
[-0.0023332106766298377, -0.0025111600090241826]
[-0.002960779376863343, -0.002323988373545749]
[-0.008121783622974887, -0.00198696615182703]
[-0.0013666737992767963, 0.002531540677785382]
[-0.009311201642701494, 0.0022085771593612358]
[-0.006849605779838369, 0.0034193232411135754]
[-0.003822991356087768, 0.0035374682228846432]
[-0.009529723509306587, -0.0003494932401191253]
[-0.0009658608035700844, -0.0006022813119268555]
[-0.004925701807143884, -0.002877228606944948]
[-0.005349100899036979, -0.0025935785872452932]
[-0.0007301393660752442, 0.00039840449357841923]
[-0.008908764296546634, 0.00021090078977159532]
[-0.0040649365319600506, 0.0033328779907247086]
[-0.005663843420119163, 0.0034090948862723347]
[-0.008490103784839387, 0.001500690153212858]
[-0.000965674844181752, 0.0012703582917667489]
[-0.006607474189416318, -0.002233860524649689]
[-0.0029142549557193975, -0.002068458112854721]
[-0.0013588804067328208, -0.0013332000472110472]
[-0.007444688991816162, -0.0013930802860757652]
[-0.0019508953567020093, 0.002252365014881408]
[-0.006951268572086167, 0.0022948599405638315]
[-0.006575346003528826, 0.0026813333281054397]
[-0.001979324410112393, 0.002518928700660533]
[-0.007459986291716292, -0.0008130235023038335]
[-0.0013307499972045056, -0.000786272783869002]
[-0.0027441082654011684, -0.002203151812283366]
[-0.005379816565066892, -0.002170592380327241]
[-0.00087757905776642, 0.0006797466048641398]
[-0.007301038162222606, 0.0006932407942168428]
[-0.004350529063404829, 0.002911885927907587]
[-0.003443009456247814, 0.0028443229746683285]
[-0.0072720524281241206, 0.0008064788885585594]
[-0.000803475590016367, 0.0007132979411605955]
[-0.004263988686732889, -0.002085555743706058]
[-0.0032888121620172073, -0.0020054930974593432]
[-0.0008749839293009654, -0.0008149807213742033]
[-0.006666801409477285, -0.0008297279369084976]
[-0.0023944511775655375, 0.002244319607200479]
[-0.0047704900813880236, 0.0022746067785296697]
[-0.006171316034672247, 0.0020778564327769145]
[-0.001216564849779056, 0.001909334978069055]
[-0.005372503527669492, -0.0011709972089037901]
[-0.0016785711335509657, -0.0010837755066115395]
[-0.0016753640497016997, -0.0017714451527959252]
[-0.005299324956759333, -0.0018148645954108034]
[-0.0011321528608184694, 0.0009972308706998056]
[-0.005519235620975449, 0.0011056490901474314]
[-0.004534716879245976, 0.0026399303539605956]
[-0.002213129780072376, 0.0024500615444015272]
[-0.00573917712582428, 0.00013757819702819862]
[-0.0008524553036978189, 0.00020477970351384656]
[-0.0028328466705910826, -0.0019583780041250165]
[-0.003629560408971902, -0.002028370514352673]
[-0.000735226245159315, -0.0003763477061965448]
[-0.005492257966338676, -0.00022544625663012408]
[-0.0028430734751296316, 0.0023957721289032397]
[-0.0033316428022130418, 0.002232775875084664]
[-0.005308326030598498, 0.001374069474467332]
[-0.0008514706905576874, 0.0014096205857254684]
[-0.003876161640542608, -0.0014099501513298307]
[-0.0021182142800254544, -0.0014992894396221867]
[-0.0011080445274390671, -0.0014412621721766605]
[-0.0047563898045316355, -0.001289331132190652]
[-0.001527547182868516, 0.0015048346757777498]
[-0.004152983459212889, 0.0014006020091007765]
[-0.004272595965161663, 0.0021554894310349404]
[-0.0014783506347418873, 0.00216076600378895]
[-0.004447188108734013, -0.00038020130563309884]
[-0.0011181456249093058, -0.00047628159048196395]
[-0.0019521051320954275, -0.0019069952472885454]
[-0.003583261664275972, -0.0017907680122333236]
[-0.0008518063795035502, 0.00030235297347203094]
[-0.004415238864290405, 0.00026808933081279296]
[-0.0029798209554445787, 0.002284391363006316]
[-0.0023867918453788772, 0.002268503789348786]
[-0.0043881192689124715, 0.0007605922978468627]
[-0.0007864917717304021, 0.0006735371804430512]
[-0.002880019960294994, -0.0016961048399701806]
[-0.0023398913868032944, -0.0016393740534481616]
[-0.0008582739183725652, -0.0008217177774133555]
[-0.004067826021650567, -0.0007938713199633352]
[-0.0018083364807644497, 0.0017839994690674044]
[-0.003202093451781629, 0.0017581193765091319]
[-0.0037591446385086824, 0.0016504696828371912]
[-0.0010649569764427103, 0.0015875116979906512]
[-0.0035403362568774965, -0.0009420154409072179]
[-0.0013665457520980473, -0.0009515316335044766]
[-0.0013854130104686835, -0.0015445732960497338]
[-0.0032571441617760266, -0.0014755742892418322]
[-0.001050334920466689, 0.0008644499958513352]
[-0.00363470536479904, 0.0008375291962060549]
[-0.002790402424682231, 0.00204273168540349]
[-0.0017252670891718669, 0.0020141469636816983]
[-0.003716032812977055, 7.46694620059607e-05]
[-0.0008785176663989036, 8.629978932694904e-06]
[-0.002142141268356726, -0.0016981117789349742]
[-0.002256377427977671, -0.0016140870534306906]
[-0.0008357380397413516, -0.00016169906197693873]
[-0.003554784823098567, -0.00018492682752258016]
[-0.0017902104513658479, 0.001866354214600699]
[-0.0024586580106599754, 0.0018746893421452415]
[-0.0033714355210006097, 0.001025691324820055]
[-0.0009172601686429083, 0.0009247973000234833]
[-0.002810886219837938, -0.0013009182791956508]
[-0.0013665856867792203, -0.0012256658716922608]
[-0.0011136257116156623, -0.000984154831309425]
[-0.0030107272840966814, -0.0010029414020502614]
[-0.0010415390815897707, 0.0012276429131641287]
[-0.00297813842922523, 0.001266921161339668]
[-0.0026400065436843756, 0.0016374729983882827]
[-0.0013591701401235445, 0.001528480335961882]
[-0.0031459090169856374, -0.0005317868905466705]
[-0.0008213944615177438, -0.0004815110431798386]
[-0.0016897283726610146, -0.0013869140599973573]
