[466.6884260050417, 49.988912533983864]
[1.7675891304503892, -16.87418869605007]
[14.926210639859505, -133.97131337726472]
[-3.8721202974889586, 4.201229135864196]
[6.565619657367272, -14.046112742993827]
[-4.45713762496818, -0.5844413487772329]
[0.5257276160619853, 10.427066728718216]
[-0.19542457957180837, -1.0571137392713048]
[-2.7596775640478057, -4.022423834953806]
[0.14973433999915287, -1.5011650432423096]
[-4.840367095741577, -1.259338905152278]
[-0.7361311961754273, 1.154876472833898]
[-1.2104932782792153, 0.5730625586020537]
[-1.7262147733328739, 0.2708264034246888]
[0.00899670351427595, 0.9695810095436954]
[-0.4938636440001951, -0.482168621723982]
[-0.29481341713693787, -0.6862387375565289]
[0.029719549159247904, -0.40010277180045195]
[-1.3536087788662652, -0.4670204092742565]
[-0.1634654258670647, 0.3552559583987467]
[-0.6207162144479921, 0.26286278874680136]
[-0.7323620666806008, 0.20539071036928647]
[-0.038197103671141264, 0.3431993762382941]
[-0.34240392564836375, -0.22912547983988008]
[-0.04228795183148382, -0.21739697525552892]
[-0.005114321907532471, -0.20076001773887509]
[-0.5757469384326099, -0.2686481308311752]
[-0.03812693577485593, 0.1418125493182636]
[-0.3835537469190222, 0.1203645378967586]
[-0.3749704300039287, 0.1524743270465425]
[-0.04904839888362034, 0.18495985627729894]
[-0.24802627573670577, -0.11810222897617129]
[0.00778025988659703, -0.0785326328099476]
[-0.020488251932675006, -0.12908791746502102]
[-0.2907604054351727, -0.17723485713468756]
[-0.0015725726291604403, 0.05949579415140782]
[-0.2635439576844223, 0.052690581513883394]
[-0.21104015713388247, 0.1148727157982039]
[-0.052044826074411965, 0.11911837502190714]
[-0.18767854300110098, -0.06047238798608867]
[0.017281089034569597, -0.023448918260496]
[-0.028713222140123396, -0.09272982665192853]
[-0.15884579105693986, -0.12364473358498707]
[0.009240715638008545, 0.021233804367128073]
[-0.19180187629712986, 0.016787142525849674]
[-0.12428836798772558, 0.08706596334936201]
[-0.05242351671505152, 0.08339900561743718]
[-0.1457442964523814, -0.02732756075775633]
[0.01602440683646833, 0.0016293441336650005]
[-0.03347670322941365, -0.07010729023545093]
[-0.08940562409333741, -0.08811718654856948]
[0.011061949646788527, 0.0015807710073327819]
[-0.1439354394218788, -0.0034447246688062982]
[-0.07427156230167486, 0.06576430394365929]
[-0.051597317355033256, 0.060600882850833315]
[-0.11463271076206016, -0.007231123911632942]
[0.01180235894674464, 0.013664658877901914]
[-0.036188199899115925, -0.054076589758735305]
[-0.05007758334971757, -0.06288601519784509]
[0.009487172328661142, -0.008990763420823278]
[-0.1095849970087599, -0.01494137933192885]
[-0.043943275792916014, 0.0490785308119035]
[-0.05002667227940205, 0.044427059258580925]
[-0.09048355177300893, 0.005110075112281454]
[0.007037040137742423, 0.019295789580809686]
[-0.03747792471040934, -0.04172303488216855]
[-0.026942726685067253, -0.044254734977072996]
[0.00665975444980571, -0.014669782209834059]
[-0.08373664841785189, -0.021116146603612496]
[-0.02506953359614794, 0.03585272399444861]
[-0.04788294921703473, 0.032134766049217056]
[-0.07119557734091808, 0.012473667124236254]
[0.002528956528175641, 0.021513682031138348]
[-0.0376695156565825, -0.0316944057529252]
[-0.013182990928590987, -0.030208131089203782]
[0.003470868672585503, -0.017512269441265826]
[-0.06371159804591664, -0.023853547478877357]
[-0.013248998385738453, 0.02532367866009899]
[-0.0452477299874241, 0.022389392104746886]
[-0.05554562669838092, 0.016480146624448633]
[-0.0014729808990154858, 0.021801842319304043]
[-0.036959980355701916, -0.023314465814562535]
[-0.005122588350660262, -0.019524203233047266]
[0.000310298420896693, -0.018609068638368753]
[-0.047955048833021596, -0.02430365044528704]
[-0.0059410549666054635, 0.016949939719941742]
[-0.042183205990455, 0.014493029509546673]
[-0.04277036296633785, 0.018164483027496292]
[-0.004914939488291026, 0.020947994129561387]
[-0.03549670706633545, -0.016231001773271136]
[-0.0006327091113536021, -0.011395325875854956]
[-0.002643808509348755, -0.018574077846090553]
[-0.0354917988590675, -0.023229557087747182]
[-0.001591831056010129, 0.010324085263731408]
[-0.03875832380909139, 0.008060578699224497]
[-0.03235537723322712, 0.018238130472137293]
[-0.007807495472017756, 0.01939353676341904]
[-0.03341178396389388, -0.010255075802892089]
[0.001585970516760682, -0.005250660320788136]
[-0.0053038756344727656, -0.01777164224788169]
[-0.025660990831745, -0.021170487649147474]
[0.0007900616085394496, 0.005126729157754362]
[-0.03505670480030698, 0.0028662975936217805]
[-0.023924273218302927, 0.017216999037594327]
[-0.010176374170886127, 0.017399759767892764]
[-0.030836058061669114, -0.00527908119395093]
[0.0023562559552412488, -0.0006669381833848131]
[-0.007620737965132296, -0.01643187124704837]
[-0.017979735891988424, -0.018522722410453496]
[0.0018562588661656942, 0.0011017563686721576]
[-0.031175899684778408, -0.001235750468522978]
[-0.017179313050943557, 0.015487356196804303]
[-0.012045607782720569, 0.01513304111946212]
[-0.027902640621898955, -0.0012317259202316855]
[0.0022121528768628274, 0.002679193309381933]
[-0.009562098214766723, -0.0147127280787695]
[-0.012070971924141694, -0.015582114384098233]
[0.002044153612090094, -0.0019577801640791037]
[-0.0272222795911925, -0.004355209173963592]
[-0.011870055029923998, 0.013341824716351258]
[-0.013434414452834997, 0.012710515433778102]
[-0.024744781302082464, 0.0019473872456570174]
