[426.90559434868265, -4.4092882711920875]
[-0.9239243392276393, 0.023915699674304847]
[11.089178255200892, -14.102109205530255]
[-0.6706755638776976, -1.1460596584700653]
[1.5039041865480431, 1.5418164959017844]
[-0.21154913684751975, -0.30490843390015243]
[0.07302427776318865, -0.8977107389387022]
[-0.007253066632515015, 0.2539087966056106]
[-0.8820655830324409, 0.04080856045465353]
[-0.01455674052291478, -0.1298306104365743]
[-0.3254995148554958, -0.45550573189661847]
[-0.15629944047581557, -0.2937699440422641]
[0.15740492166528774, -0.08721147103510418]
[-0.15137004794229725, 0.012824031479003128]
[-0.11348787995604503, -0.005894073818649481]
[0.026373343893161483, 0.03877916350205268]
[-0.1986602217989466, -0.062200877115110575]
[-0.02195116415610876, -0.10482525801726972]
[-0.04032725336238041, -0.13516074907914088]
[-0.08585917460173143, -0.07588285885147883]
[0.04373006063129026, -0.0048415284122462765]
[-0.045787539934044386, 0.025101406876659293]
[-0.08419662826755259, 0.002142128687810829]
[0.0209698839597241, -0.008147010407684618]
[-0.0694205808646764, -0.05686421712122103]
[-0.029831970127808027, -0.06419039474327093]
[0.004355920569886207, -0.04908338511812538]
[-0.04894791328322423, -0.01593050842756405]
[0.00448586865927858, 0.010378552332178437]
[-0.00859372142083975, 0.014031499939918875]
[-0.05763959834069188, -0.009607461314508813]
[0.008602369493611484, -0.02134079053905502]
[-0.022373326755023015, -0.04148496987674921]
[-0.029624558170536552, -0.03552921928156216]
[0.008833868502712727, -0.014195568425028782]
[-0.025289033437154274, 0.003314003477893568]
[-0.01194742669606752, 0.008011867307224918]
[0.0037266696032447477, 0.0023085084150460677]
[-0.03629359838626822, -0.01617678244555218]
[-0.0019994155904257127, -0.022045130767625487]
[-0.0027495082472861476, -0.026228416865974324]
[-0.02452979732927396, -0.01650225163943464]
[0.0037813522742327077, 0.00047638221269696857]
[-0.010187077933992317, 0.007307992611115255]
[-0.01725795359262028, 0.0014861431965789151]
[0.00537881689445463, -0.005929932315228759]
[-0.019952008320379244, -0.01716886243337734]
[-0.008758637298126981, -0.01743303930716955]
[0.0041195590286240424, -0.013761936654195672]
[-0.017293853456673336, -0.00498281442665327]
[-0.002421251029234739, 0.005008378327600482]
[-0.0015875549150154988, 0.005084579613529205]
[-0.016421798530668275, -0.004501699971654172]
[0.002612627751708896, -0.010062915247133652]
[-0.008493512525541647, -0.014406310448354498]
[-0.011567113397557227, -0.01113754593753935]
[0.004477275689138582, -0.005003921236575337]
[-0.009982164196491006, 0.0007635797381553289]
[-0.006876886229425061, 0.004311030678390004]
[0.0020821849452997143, 0.0009514948509118902]
[-0.012504943184543427, -0.008210887925099851]
[-0.001236173793143891, -0.010666707627634775]
[-0.001559342550596643, -0.009829566527032263]
[-0.011179783023526069, -0.00529338614907271]
[0.0018796609618736415, 1.2362158663847822e-05]
[-0.003990091400745577, 0.002399648337749305]
[-0.008778199350232274, 0.0014012597032333485]
[0.00236412099396921, -0.0028066814490471242]
[-0.007672074070807333, -0.009312774105322663]
[-0.00434746211509629, -0.008838650116733682]
[0.0015820117126752464, -0.005067677101248336]
[-0.00874567287494199, -0.0010584746713258042]
