[473.40624925343644, 6.644859926004258]
[1.6452302031065216, 16.606910498877156]
[6.466706311741859, -84.92471349716858]
[-1.1343862797097515, -2.199271269983541]
[8.873989553486597, 6.328971394480675]
[-4.355633243970686, 0.1943046470164873]
[-1.551918093083632, -5.37913388709201]
[-0.282473115275387, -0.3265892212223278]
[-1.8279958809392127, 1.5985703165996163]
[-0.44245886887673347, 0.42979162766600565]
[-3.871204969310351, -0.4221598256611192]
[-0.2203648567748786, -0.3291961722199659]
[-0.40358506501102376, -0.5669185439525375]
[-1.3001826592414218, -0.06678995619706285]
[-0.279951842879095, 0.037170297242692385]
[-0.3765073282326892, 0.2890512881607581]
[-0.3147583256326385, 0.231995503561917]
[-0.16076479416725586, -0.06591933747932321]
[-0.9975830791848157, -0.03311247308441101]
[-0.10998129613897589, -0.12653517452432939]
[-0.28345114844487096, -0.36133441678557576]
[-0.4741909559812125, -0.07614688911332301]
[-0.1072796093948476, 0.1100011773713021]
[-0.23594649095531572, 0.2149004441594915]
[-0.1723715290489224, 0.10514146567707883]
[-0.06916052847012022, -0.047800238868219935]
[-0.3865576664127639, 0.021112525826346484]
[-0.10100708675079195, -0.07885694430193047]
[-0.1811836756628491, -0.22132629754280853]
[-0.2183879483240041, -0.0639190099862772]
[-0.041097685207348356, 0.05323208127641199]
[-0.15417067671589635, 0.134195069200703]
[-0.133869724376404, 0.06955635027261398]
[-0.024011712374093386, -0.011700130275723808]
[-0.18987729802410902, 0.026105224573759855]
[-0.08971520194542659, -0.056200172128668235]
[-0.12154591811232152, -0.12985600052277935]
[-0.12391470129000948, -0.04454447594728056]
[-0.008316469724406694, 0.013588133226979882]
[-0.10778127320807718, 0.07544224610632788]
[-0.10521089106282444, 0.051325864962399326]
[-0.0024576544940266842, 0.008349864437002807]
[-0.11496167632101884, 0.01606160425546932]
[-0.0703916716839521, -0.04317023898431227]
[-0.08687953291246453, -0.07165893383619615]
[-0.08437354290403665, -0.024784442871767176]
[0.005125620593625868, -0.005339078520933516]
[-0.07987763741931264, 0.038912329128759415]
[-0.07687037133751273, 0.04094378948751798]
[0.003644408427160517, 0.015565599465354518]
[-0.0819520139191372, 0.003527444682993819]
[-0.04900000772868296, -0.03613890369631001]
[-0.06499229321371591, -0.03825652170795113]
[-0.06451453301148757, -0.00985035715648408]
[0.006135050517751761, -0.011774504143545528]
[-0.060553201371198906, 0.01989969449590845]
[-0.051767618768726376, 0.03526281170695533]
[0.0009339719462386764, 0.01635551657605272]
[-0.06414117537238112, -0.0050715832485670465]
[-0.03094414402794321, -0.03201490795561779]
[-0.04879713781213324, -0.021942479161224604]
[-0.05227825386698526, -0.0020118314442942875]
[0.0010372911117124683, -0.012592989025923096]
[-0.04511613330345865, 0.012117061504071103]
[-0.03285605648491208, 0.03129152129762858]
[-0.004615060948736538, 0.014852010034951846]
[-0.05261377931238309, -0.007755357630140791]
[-0.018468241378290284, -0.0280166170819085]
[-0.03543114017087701, -0.015546489257452945]
[-0.043861421512975785, -0.00042407804899946555]
[-0.004865208210735883, -0.011422337161687945]
[-0.03246750240022678, 0.009944461985381459]
[-0.020591534475319584, 0.02674256669100039]
[-0.00892455725807273, 0.012604095567013474]
[-0.04451811490106916, -0.005783046895020849]
[-0.011105732456018869, -0.02278190232558136]
[-0.024745862445775257, -0.013638312080388959]
[-0.03781358661863843, -0.0024243749761559408]
[-0.008480205940055163, -0.009425067748740856]
[-0.023120227544023653, 0.009734558353464706]
[-0.013523009291027233, 0.020937228304275024]
[-0.01042353613168201, 0.009825974754810396]
[-0.03850532752578045, -0.0017984465080633782]
[-0.007218339483848757, -0.01664061007639317]
[-0.01743455859386378, -0.013121967633415998]
[-0.03297918840296732, -0.0052661520584201815]
[-0.009128184877995382, -0.006806180514366933]
[-0.017475510913968595, 0.009849658256583127]
[-0.009719751931986043, 0.014685748527852815]
[-0.00951334710940821, 0.006660500728149721]
[-0.033399762426923774, 0.00189349067535316]
[-0.005327532598962514, -0.010879798817054365]
[-0.01363201108734402, -0.01279125014375504]
[-0.028339678005528945, -0.007266867594229787]
[-0.007702147542192339, -0.003910449124650217]
[-0.015013762268776265, 0.009854382801229356]
[-0.007774524245014458, 0.009350184818173901]
[-0.00741394313549093, 0.0036840905498755627]
[-0.02832634978220283, 0.004178799932911814]
[-0.004614449365392792, -0.006676716366415647]
[-0.012505061081653501, -0.012362298623178614]
[-0.023432863419966532, -0.007980991346991928]
[-0.005493026997065997, -0.0014541541282109272]
[-0.014469249315023802, 0.009639204073290886]
[-0.006976429836170306, 0.005860342373133376]
[-0.005178219447116383, 0.0016518035624485394]
[-0.02308075274172594, 0.005026571075014197]
[-0.004703145543252241, -0.004428211834830331]
[-0.01268750694730647, -0.011698858928997136]
[-0.018510982355935957, -0.007693969662410538]
[-0.0033980762368572837, -0.0001290681055907683]
[-0.014501308181502637, 0.009011769808791481]
[-0.006943624127386805, 0.004286166851825257]
[-0.003315881747024463, 0.0009831469782626279]
[-0.0181053313121724, 0.0048906500204256576]
[-0.0052472056060676175, -0.003751195219096143]
[-0.012977014924463431, -0.010583043308623197]
[-0.014227244485257806, -0.006822613039732861]
[-0.0017653254048057843, -0.0001447163260046569]
[-0.01425048907305504, 0.007781586291271569]
[-0.007250658799445142, 0.004044919676200909]
[-0.0019433767392840195, 0.0015018404851430134]
[-0.014058637958503706, 0.004195211814411071]
[-0.005760731964997268, -0.003923018234539666]
[-0.012753078180066879, -0.008891469728862678]
[-0.011125104035814792, -0.005629385967760359]
[-0.0006461474858930893, -0.0011274465161986158]
[-0.013459890376699146, 0.00600378550993752]
[-0.007375509651798895, 0.004396350373103042]
[-0.0010803750256039857, 0.00259822581379332]
[-0.01133409059493884, 0.003184424112755213]
[-0.005773102320882018, -0.004329567869811202]
[-0.011946115157503101, -0.00679903963260764]
[-0.009312255372166178, -0.004273168800950772]
[-6.147163488612328e-05, -0.0024024778472818142]
[-0.012244598101186832, 0.0040470193978810465]
[-0.006915889410646581, 0.0048142868646103565]
[-0.0007805347480946967, 0.0036203592795664985]
[-0.009857468314080187, 0.0020414739225760314]
[-0.0050844447219374755, -0.004641981772995241]
[-0.010747618470925313, -0.0047476075917907146]
[-0.00848444275478677, -0.002959293339765967]
[-5.4322004650941835e-05, -0.0033897413160501877]
[-0.010799900980679566, 0.0024051955342839215]
[-0.005805809858946853, 0.005057867337198707]
